Alert ID,Ticker,Description,Time
255848529,"BINANCE:SXPUSDTPERP, 15m",ticker:SXPUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:3.7199;time:2021-08-21T10:15:00Z,2021-08-21T10:30:00.000Z
255854623,"BINANCE:1INCHUSDTPERP, 15m",ticker:1INCHUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:3.4925;time:2021-08-21T09:45:00Z,2021-08-21T10:00:00.000Z
255849419,"BINANCE:KSMUSDTPERP, 15m",ticker:KSMUSDTPERP;buy:0;sell:0;buy_strong:0;sell_strong:1;buy_exit:null;sell_exit:null;close:341.73;time:2021-08-21T09:15:00Z,2021-08-21T09:30:00.000Z
255846040,"BINANCE:IOTXUSDTPERP, 15m",ticker:IOTXUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:0.08431;time:2021-08-21T09:00:00Z,2021-08-21T09:15:00.000Z
255843559,"BINANCE:RUNEUSDTPERP, 15m",ticker:RUNEUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:9.463;time:2021-08-21T08:30:00Z,2021-08-21T08:45:00.000Z
255845611,"BINANCE:MTLUSDTPERP, 15m",ticker:MTLUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:2.9669;time:2021-08-21T08:00:00Z,2021-08-21T08:15:00.000Z
255847432,"BINANCE:HBARUSDTPERP, 15m",ticker:HBARUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:0.24803;time:2021-08-21T08:00:00Z,2021-08-21T08:15:00.000Z
255855075,"BINANCE:COMPUSDTPERP, 15m",ticker:COMPUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:479.62;time:2021-08-21T07:30:00Z,2021-08-21T07:45:00.000Z
255843559,"BINANCE:RUNEUSDTPERP, 15m",ticker:RUNEUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:9.16;time:2021-08-21T06:45:00Z,2021-08-21T07:00:02.000Z
255845155,"BINANCE:AAVEUSDTPERP, 15m",ticker:AAVEUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:413.11;time:2021-08-21T06:00:00Z,2021-08-21T06:15:00.000Z
255854345,"BINANCE:FTMUSDTPERP, 15m",ticker:FTMUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:0.50931;time:2021-08-21T05:45:00Z,2021-08-21T06:00:00.000Z
255854760,"BINANCE:CELRUSDTPERP, 15m",ticker:CELRUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:0.04637;time:2021-08-21T05:30:00Z,2021-08-21T05:45:02.000Z
255845397,"BINANCE:BAKEUSDTPERP, 15m",ticker:BAKEUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:2.671;time:2021-08-21T05:30:00Z,2021-08-21T05:45:01.000Z
255848265,"BINANCE:LINAUSDTPERP, 15m",ticker:LINAUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:0.06433;time:2021-08-21T05:30:00Z,2021-08-21T05:45:01.000Z
255845773,"BINANCE:CHZUSDT, 15m",ticker:CHZUSDT;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:0.3582;time:2021-08-21T05:00:00Z,2021-08-21T05:15:01.000Z
255849557,"BINANCE:CRVUSDTPERP, 15m",ticker:CRVUSDTPERP;buy:1;sell:0;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:2.195;time:2021-08-21T05:00:00Z,2021-08-21T05:15:01.000Z
255849299,"BINANCE:ATOMUSDTPERP, 15m",ticker:ATOMUSDTPERP;buy:1;sell:0;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:19.222;time:2021-08-21T03:45:00Z,2021-08-21T04:00:02.000Z
255844016,"BINANCE:THETAUSDTPERP, 15m",ticker:THETAUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:7.312;time:2021-08-21T03:30:00Z,2021-08-21T03:45:00.000Z
