Alert ID,Ticker,Description,Time
260667760,"BINANCE:DODOUSDTPERP, 5m",ticker:DODOUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:2.111;timenow:2021-08-22T06:35:00Z,2021-08-22T06:35:00.000Z
260666788,"BINANCE:ETCUSDTPERP, 5m",ticker:ETCUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:68.532;timenow:2021-08-22T06:35:00Z,2021-08-22T06:35:00.000Z
260669234,"BINANCE:SKLUSDTPERP, 5m",ticker:SKLUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.32882;timenow:2021-08-22T06:35:00Z,2021-08-22T06:35:00.000Z
260668427,"BINANCE:XMRUSDTPERP, 5m",ticker:XMRUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:290.36;timenow:2021-08-22T06:20:08Z,2021-08-22T06:20:08.000Z
260667560,"BINANCE:MANAUSDTPERP, 5m",ticker:MANAUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.9031;timenow:2021-08-22T06:20:00Z,2021-08-22T06:20:00.000Z
260667176,"BINANCE:CHRUSDTPERP, 5m",ticker:CHRUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.4068;timenow:2021-08-22T06:20:01Z,2021-08-22T06:20:01.000Z
260668235,"BINANCE:DASHUSDTPERP, 5m",ticker:DASHUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:237.57;timenow:2021-08-22T06:20:00Z,2021-08-22T06:20:00.000Z
260666432,"BINANCE:ETHUSDTPERP, 5m",ticker:ETHUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:3249.01;timenow:2021-08-22T06:20:00Z,2021-08-22T06:20:00.000Z
260668350,"BINANCE:IOSTUSDTPERP, 5m",ticker:IOSTUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.035212;timenow:2021-08-22T06:20:00Z,2021-08-22T06:20:00.000Z
260666875,"BINANCE:LINKUSDTPERP, 5m",ticker:LINKUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:28.271;timenow:2021-08-22T06:20:00Z,2021-08-22T06:20:00.000Z
260666594,"BINANCE:DOGEUSDTPERP, 5m",ticker:DOGEUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.31882;timenow:2021-08-22T06:20:00Z,2021-08-22T06:20:00.000Z
260669182,"BINANCE:ONTUSDTPERP, 5m",ticker:ONTUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:1.0787;timenow:2021-08-22T06:15:00Z,2021-08-22T06:15:00.000Z
260667674,"BINANCE:XLMUSDTPERP, 5m",ticker:XLMUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.37326;timenow:2021-08-22T06:05:00Z,2021-08-22T06:05:00.000Z
